,Accion,Cierre,Diferencia,Maximo,Minimo,Volumen,Fecha
10,BBVA,6.021,-0.08,6.089,5.995,17911959.0,08/11/2021
33,TELEFONICA,3.7595,-0.17,3.793,3.747,12591868.0,08/11/2021
7,B.SANTANDER,3.238,-1.4,3.3,3.238,69064829.0,08/11/2021
