,country,name,last,high,low,change,change_percentage,currency
0,spain,IBEX 35,8997.0,9016.5,8944.1,+72.00,+0.81%,EUR
1,spain,FTSE Latibex,2100.7,2100.7,2051.0,+48.70,+2.37%,EUR
2,spain,General Madrid,887.86,890.09,883.39,+6.28,+0.71%,EUR
3,spain,IBEX Medium Cap,13678.8,13701.7,13621.4,+75.60,+0.56%,EUR
4,spain,IBEX Small Cap,8251.6,8257.7,8177.0,+85.70,+1.05%,EUR
5,spain,VIBEX,14.4,14.4,14.4,-0.50,-3.36%,EUR
6,spain,BCN Banks,731.2,738.48,725.73,+11.85,+1.65%,EUR
7,spain,BCN Cement & Construction,1296.92,1299.93,1286.11,+8.18,+0.63%,EUR
8,spain,BCN Chemicals,577.33,583.52,574.26,0.00,0.00%,EUR
9,spain,BCN Commerce & Finance,136.49,137.25,133.17,+4.04,+3.05%,EUR
10,spain,BCN Electric,1998.8,2024.89,1993.06,-16.76,-0.83%,EUR
11,spain,BCN Food Agriculture & Forest,942.5,948.39,933.13,0.00,0.00%,EUR
12,spain,BCN Metallurgical,715.52,716.99,707.38,+12.41,+1.77%,EUR
