,Fecha,Abierto,Maximo,Minimo,Cierre,Volumen,Moneda,Accion
0,2021-11-19,5.495,5.578,5.3,5.403,34337500,EUR,BBVA
1,2021-11-19,3.161,3.1815,3.0125,3.0585,98580000,EUR,SAN
2,2021-11-19,3.984,4.008,3.9085,3.9675,31974900,EUR,TEF
