,Fecha,Abierto,Maximo,Minimo,Cierre,Volumen,Moneda,Accion
0,2021-11-08,6.006,6.089,5.995,6.021,0,EUR,BBVA
1,2021-11-08,3.278,3.3,3.238,3.238,0,EUR,SAN
2,2021-11-08,3.776,3.793,3.747,3.7595,0,EUR,TEF
