Nombre,Ultimo,Fecha
IBEX 35® Apalancado Neto X3,"6.884,10",2021-09-26 23:58:13.774219
IBEX TOP Dividendo® Rentabilidad,"6.889,60",2021-09-26 23:58:13.775344
IBEX TOP Dividendo® Rentabilidad,"6.889,60",2021-09-27 00:00:27.843014
Índice BBVA Apalancado X5,"635,70",2021-09-26 23:58:13.777020
Índice BBVA Apalancado X5,"635,70",2021-09-27 00:00:27.844888
Índice BBVA Apalancado X3,"636,20",2021-09-26 23:58:13.776815
Índice BBVA Apalancado X3,"636,20",2021-09-27 00:00:27.844676
BCN GLOBAL 100 (Base 1986),"687,21",2021-09-27 00:00:27.843976
BCN GLOBAL 100 (Base 1986),"687,21",2021-09-26 23:58:13.776226
IBEX 35® Protective Put,"695,80",2021-09-27 00:00:27.842907
IBEX 35® Protective Put,"695,80",2021-09-26 23:58:13.775183
IBEX 35® Skew,"8,03",2021-09-26 23:58:13.775008
IBEX 35® Skew,"8,03",2021-09-27 00:00:27.842747
IBEX SMALL CAP®,"8.341,40",2021-09-26 23:58:13.773195
IBEX SMALL CAP®,"8.341,40",2021-09-27 00:00:27.841036
IBEX 35®,"8.873,10",2021-09-27 00:00:27.840851
IBEX 35®,"8.873,10",2021-09-26 23:58:13.772929
I.G.B.M.,"874,08",2021-09-26 23:58:13.776090
I.G.B.M.,"874,08",2021-09-27 00:00:27.843868
FTSE4Good IBEX,"9.362,40",2021-09-27 00:00:27.843516
FTSE4Good IBEX,"9.362,40",2021-09-26 23:58:13.775760
Índice BBVA Inverso X5,"9.629,20",2021-09-27 00:00:27.845334
Índice BBVA Inverso X5,"9.629,20",2021-09-26 23:58:13.777541
IBEX 35® Inverso X3,"9.794,60",2021-09-27 00:00:27.841507
IBEX 35® Inverso X3,"9.794,60",2021-09-26 23:58:13.773762
Índice TEF Inverso X3,"910,30",2021-09-27 00:00:27.844993
Índice TEF Inverso X3,"910,30",2021-09-26 23:58:13.777136
